	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	sfr	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
533	615241	0.0	0.16620696	Merger	224923840.0	100	62	0.022240758	0.022240758	2	15	593.3602767437599	836.9378394750869
534	621572	0.0	0.37754098	Merger	150606260.0	100	62	0.115968	0.115968	1	40	814.9666302890353	917.3788652404959
535	625588	0.0	0.22967409	Merger	312783360.0	100	62	0.05231394	0.05231394	1	72	527.6530731811972	805.7184934536626
536	629274	0.0	0.1333771	Merger	194000800.0	100	62	0.08983056	0.08983056	1	12	607.8063817407617	659.949959767549
537	632558	0.0	1.3659735	Merger	132026760.0	100	62	0.08595454	0.08595454	1	10	402.2127518430768	422.9394129165628
538	638273	0.0	0.25449243	Merger	121087816.0	100	62	0.0514543	0.0514543	1	76	263.89079811859557	282.2565980377552
539	641649	0.0	0.10604157	Merger	202233860.0	100	62	0.07116402	0.07116402	1	12	578.7790618758047	944.2107863370716
540	646867	0.0	0.10520101	Merger	136048140.0	100	62	0.009256745	0.009256745	1	9	1645.9618305590175	1653.7928527993806
541	647039	0.0	0.3299054	Merger	124769840.0	100	62	0.0649203	0.0649203	2	88	471.88611879016304	802.4519355593286
542	648567	0.0	0.1848186	Merger	190087600.0	100	62	0.010413681	0.010413681	2	103	274.1611410047491	337.22360701234425
543	650825	0.0	0.11468189	Merger	157424910.0	100	62	0.061085068	0.061085068	1	46	336.46955075247615	427.0447766561368
544	657372	0.0	0.2576365	Merger	231590020.0	100	62	0.03428424	0.03428424	2	32	886.5168911139476	1191.1896085810063
545	657936	0.0	0.2540276	Merger	213500510.0	100	62	0.037354086	0.037354086	1	207	85.40602757525481	167.6373432430141
546	661007	0.0	1.6161977	Merger	254874980.0	100	62	0.060061	0.060061	1	120	205.38149775113723	235.9502158822297
547	663608	0.0	0.2912336	Merger	89284616.0	100	62	0.01959017	0.01959017	1	10	337.72949014018	444.8296437622815
548	663971	0.0	0.105582364	Merger	209975840.0	100	62	0.06200408	0.06200408	1	118	342.2934543300997	451.1856034496623
549	668752	0.0	0.17618668	Merger	196300270.0	100	62	0.040678255	0.040678255	1	48	448.5323520381779	469.09433780265215
550	668791	0.0	0.15917192	Merger	161476560.0	100	62	0.012695144	0.012695144	1	15	212.9395749214132	243.12744656627368
551	669411	0.0	0.1489175	Merger	136575940.0	100	62	0.0435661	0.0435661	1	39	1225.3389897403772	1251.8810045388718
552	674715	0.0	0.109081574	Merger	102059260.0	100	62	0.035714734	0.035714734	1	19	349.5207129032672	576.8455550187948
553	677921	0.0	0.102557585	Merger	93147976.0	100	62	0.024006583	0.024006583	1	50	596.6173897884651	704.4191385782347
554	680761	0.0	0.21579473	Merger	84645256.0	100	62	0.014029774	0.014029774	2	25	354.658781933005	503.4076109122096
555	687039	0.0	0.99188685	Merger	159097250.0	100	62	0.055568114	0.055568114	1	128	383.3667354583171	393.746899738378
556	693454	0.0	0.1600004	Merger	91461390.0	100	62	0.02567097	0.02567097	1	56	544.6894433404028	641.4238097600862
557	694557	0.0	0.38110352	Merger	93975290.0	100	62	0.025324624	0.025324624	1	12	475.23869938075165	479.9817647010974
558	696936	0.0	0.23117234	Merger	89688776.0	100	62	0.01101575	0.01101575	2	57	658.2944879401772	820.4035339118278
